data;maquina;setor;turno;horas_uso;temperatura_media;vibracao_media;producao;pecas_defeituosas;taxa_defeito;eficiencia;col_mes
2025-01-01;Torno CNC 03;Usinagem;Manhã;11;76,3;2,45;492;11;2,2357723577235773;97,76422764227642;1
2025-01-02;Torno CNC 03;Usinagem;Tarde;7;82,1;2,27;457;6;1,312910284463895;98,6870897155361;1
2025-01-03;Torno CNC 03;Usinagem;Manhã;8;79,2;2,02;482;7;1,4522821576763485;98,54771784232365;1
2025-01-04;Torno CNC 03;Usinagem;Tarde;3;77,5;2,16;157;11;7,006369426751593;92,99363057324841;1
2025-01-05;Torno CNC 03;Usinagem;Manhã;3;70,7;2,48;162;4;2,4691358024691357;97,53086419753086;1
2025-01-06;Torno CNC 03;Usinagem;Tarde;8;77,5;3,07;491;4;0,8146639511201629;99,18533604887983;1
2025-01-07;Torno CNC 03;Usinagem;Manhã;9;74,5;2,41;466;5;1,0729613733905579;98,92703862660944;1
2025-01-08;Torno CNC 03;Usinagem;Tarde;8;77,1;1,99;477;9;1,8867924528301887;98,11320754716981;1
2025-01-09;Torno CNC 03;Usinagem;Manhã;11;76,8;1,95;496;7;1,411290322580645;98,58870967741936;1
2025-01-10;Torno CNC 03;Usinagem;Tarde;10;75,9;1,9;487;3;0,6160164271047228;99,38398357289527;1
2025-01-11;Torno CNC 03;Usinagem;Manhã;3;71,5;1,99;173;9;5,202312138728324;94,79768786127167;1
2025-01-12;Torno CNC 03;Usinagem;Tarde;3;79,0;2,0;129;3;2,3255813953488373;97,67441860465117;1
2025-01-13;Torno CNC 03;Usinagem;Manhã;11;76,6;2,62;491;10;2,0366598778004072;97,9633401221996;1
2025-01-14;Torno CNC 03;Usinagem;Tarde;9;72,7;2,47;505;4;0,7920792079207921;99,20792079207921;1
2025-01-15;Torno CNC 03;Usinagem;Manhã;7;75,5;2,21;491;3;0,6109979633401221;99,38900203665987;1
2025-01-16;Torno CNC 03;Usinagem;Tarde;5;80,9;2,25;473;9;1,9027484143763214;98,09725158562368;1
2025-01-17;Torno CNC 03;Usinagem;Manhã;9;80,4;2,71;482;6;1,2448132780082988;98,7551867219917;1
2025-01-18;Torno CNC 03;Usinagem;Tarde;4;81,0;2,59;189;11;5,82010582010582;94,17989417989418;1
2025-01-19;Torno CNC 03;Usinagem;Manhã;4;77,9;2,77;104;11;10,576923076923077;89,42307692307692;1
2025-01-20;Torno CNC 03;Usinagem;Tarde;8;80,5;1,87;510;5;0,9803921568627451;99,01960784313725;1
2025-01-21;Torno CNC 03;Usinagem;Manhã;10;78,9;1,99;449;8;1,7817371937639197;98,21826280623608;1
2025-01-22;Torno CNC 03;Usinagem;Tarde;7;78,6;2,51;493;11;2,231237322515213;97,76876267748479;1
2025-01-23;Torno CNC 03;Usinagem;Manhã;9;76,2;2,21;448;5;1,1160714285714286;98,88392857142857;1
2025-01-24;Torno CNC 03;Usinagem;Tarde;10;77,3;2,2;504;8;1,5873015873015872;98,41269841269842;1
2025-01-25;Torno CNC 03;Usinagem;Manhã;5;80,2;2,22;191;10;5,2356020942408374;94,76439790575917;1
2025-01-26;Torno CNC 03;Usinagem;Tarde;5;74,1;1,9;144;7;4,861111111111112;95,13888888888889;1
2025-01-27;Torno CNC 03;Usinagem;Manhã;7;73,8;2,17;477;7;1,4675052410901468;98,53249475890985;1
2025-01-28;Torno CNC 03;Usinagem;Tarde;5;75,6;2,1;482;11;2,2821576763485476;97,71784232365145;1
